# NASA 3D Models Database
# Format: Model Name | GLB URL | Category
# Base URL: https://raw.githubusercontent.com/nasa/NASA-3D-Resources/master/3D%20Models/

## ANTENNAS & DISHES
Mobile Launcher (assembled)|https://raw.githubusercontent.com/nasa/NASA-3D-Resources/master/3D%20Models/Mobile%20Launcher/Mobile%20Launcher%20(assembled).glb|Facilities
Crawler|https://raw.githubusercontent.com/nasa/NASA-3D-Resources/master/3D%20Models/Crawler/Crawler.glb|Facilities
Gantry|https://raw.githubusercontent.com/nasa/NASA-3D-Resources/master/3D%20Models/Gantry/Gantry.glb|Facilities

## EXPERIMENTAL & FUTURE CONCEPTS
Advanced Technology Large-Aperture Space Telescope (ATLAST)|https://raw.githubusercontent.com/nasa/NASA-3D-Resources/master/3D%20Models/Advanced%20Technology%20Large-Aperture%20Space%20Telescope%20(ATLAST)/Advanced%20Technology%20Large-Aperture%20Space%20Telescope%20(ATLAST).glb|Concepts
Constellation-X|https://raw.githubusercontent.com/nasa/NASA-3D-Resources/master/3D%20Models/Constellation-X/Constellation-X.glb|Concepts
International X-ray Observatory|https://raw.githubusercontent.com/nasa/NASA-3D-Resources/master/3D%20Models/International%20X-ray%20Observatory/International%20X-ray%20Observatory.glb|Concepts
Solar Sail Concept|https://raw.githubusercontent.com/nasa/NASA-3D-Resources/master/3D%20Models/Solar%20Sail%20Concept/Solar%20Sail%20Concept.glb|Concepts
X-57|https://raw.githubusercontent.com/nasa/NASA-3D-Resources/master/3D%20Models/X-57/X-57.glb|Concepts
Global Hawk|https://raw.githubusercontent.com/nasa/NASA-3D-Resources/master/3D%20Models/Global%20Hawk/Global%20Hawk.glb|Concepts
Firefly|https://raw.githubusercontent.com/nasa/NASA-3D-Resources/master/3D%20Models/Firefly/Firefly.glb|Concepts
Argo|https://raw.githubusercontent.com/nasa/NASA-3D-Resources/master/3D%20Models/Argo/Argo.glb|Concepts

## HISTORICAL SPACECRAFT
Deep Space Climate Observatory (DSCOVR) (Triana)|https://raw.githubusercontent.com/nasa/NASA-3D-Resources/master/3D%20Models/Deep%20Space%20Climate%20Observatory%20(DSCOVR)%20(Triana)/Deep%20Space%20Climate%20Observatory%20(DSCOVR)%20(Triana).glb|Historical
Polar|https://raw.githubusercontent.com/nasa/NASA-3D-Resources/master/3D%20Models/Polar/Polar.glb|Historical
Wind|https://raw.githubusercontent.com/nasa/NASA-3D-Resources/master/3D%20Models/Wind/Wind.glb|Historical
Ulysses|https://raw.githubusercontent.com/nasa/NASA-3D-Resources/master/3D%20Models/Ulysses/Ulysses.glb|Historical
Cluster|https://raw.githubusercontent.com/nasa/NASA-3D-Resources/master/3D%20Models/Cluster/Cluster.glb|Historical
Cluster II|https://raw.githubusercontent.com/nasa/NASA-3D-Resources/master/3D%20Models/Cluster%20II/Cluster%20II.glb|Historical

## INSTRUCTIONS FOR USE

# 1. Copy any URL from this file
# 2. Use in your React component with Three.js loader
# 3. Format is: Model Name | URL | Category
# 4. All URLs point to NASA GitHub raw content
# 5. GLB files are optimized for web viewing

## EXAMPLE USAGE IN CODE:

import { GLTFLoader } from 'three/examples/jsm/loaders/GLTFLoader.js';

const models = [
  {
    name: '70-Meter Dish',
    url: 'https://raw.githubusercontent.com/nasa/NASA-3D-Resources/master/3D%20Models/70-meter%20Dish/70%20meter%20dish.glb',
    category: 'Antennas'
  },
  {
    name: 'Hubble Space Telescope',
    url: 'https://raw.githubusercontent.com/nasa/NASA-3D-Resources/master/3D%20Models/Hubble%20Space%20Telescope%20(A)/Hubble%20Space%20Telescope%20(A).glb',
    category: 'Telescopes'
  },
  // ... more models
];

const loader = new GLTFLoader();
loader.load(models[0].url, (gltf) => {
  scene.add(gltf.scene);
});

## NOTES:

- Total Models: 200+
- Format: All GLB (Binary GLTF)
- Source: NASA GitHub Repository
- License: Public Domain / NASA Creative Commons
- Compatibility: Works with Three.js, Babylon.js, etc.
- No additional setup required
